objectid,Código Gasoduto,Ramal,Código Material,Código Diâmetro,Finalidade,shape,st_length(shape)
196,92128,NOVO MUNDO EMPRESARIAL,PEAD,32,COMERCIAL,,0.0004025585818855837
197,92309,PE-15,AÇO,8,INDUSTRIAL,,0.0366794934861958
198,92307,POSTO PRESSGAS,AÇO,2,INDUSTRIAL,,1.0509519494249011e-7
199,92306,RAIMUNDO DA FONTE,AÇO,2,INDUSTRIAL,,8.570297544426331e-8
200,92303,RAIMUNDO DA FONTE,AÇO,2,INDUSTRIAL,,9.549376943026179e-7
201,92301,PE-15,AÇO,8,INDUSTRIAL,,0.01232366161840208
202,92830,EDIF. CARLOS DRUMMOND DE ANDRADE,PEAD,32,COMERCIAL,,0.000015033115578615099
203,92826,EDIF. CARLOS DRUMMOND DE ANDRADE,PEAD,32,COMERCIAL,,0.00003030387013237748
204,92825,R. AMAZONAS,PEAD,63,RESIDENCIAL/COMERCIAL,,0.000007874360037488761
205,92824,R. ATLÂNTICO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0005407395481872259
206,92823,JULIETTO,PEAD,32,COMERCIAL,,0.000037773287929435
207,92702,R. AMAZONAS,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00019612876396510993
208,92464,SANTISTA,AÇO,8,INDUSTRIAL,,0.00013125535461528228
209,92463,PARA O POSTO PUCON,AÇO,4,INDUSTRIAL,,1e-9
211,92461,RAMAL 378,AÇO,4,INDUSTRIAL,,0
212,92459,SANTISTA,AÇO,4,INDUSTRIAL,,0.0019536552888605244
213,92457,RAMAL 378,AÇO,4,INDUSTRIAL,,1e-9
214,92347,POSTO CARTAXO,AÇO,4,INDUSTRIAL,,0.000021325300865403988
215,92343,POSTO CARTAXO,AÇO,4,INDUSTRIAL,,2.2680828909014767e-7
216,92455,RAMAL 378,AÇO,4,INDUSTRIAL,,1e-9
217,92340,FRICALOR,AÇO,4,INDUSTRIAL,,0.00016351048155393584
218,92338,POSTO SÃO JANUARIO,AÇO,4,INDUSTRIAL,,0.0000079875553206222
219,92335,POSTO SÃO JANUARIO,AÇO,4,INDUSTRIAL,,4.833218389437829e-8
220,92735,VISCONDE JEQUITINHONHA,PEAD,110,RESIDENCIAL/COMERCIAL,,0.00048559305308238217
221,92734,WAYNE'S BURGUER,PEAD,32,COMERCIAL,,0.00002034179195646244
222,92729,WAYNE'S BURGUER,PEAD,32,COMERCIAL,,0.0005259328649016386
223,92716,DISTRITO INDUSTRIAL DE CARUARU,AÇO,3,INDUSTRIAL,,0.0019483801280928104
224,92715,POSTO CIDADE VITORIA,AÇO,3,INDUSTRIAL,,0.0012486560150155174
225,92713,POSTO BR DO OLEO,AÇO,3,INDUSTRIAL,,0.000042895525232825855
226,92712,POSTO BONANÇA,AÇO,4,INDUSTRIAL,,0.0006693621320125865
227,92711,EDIF. VERONESE,PEAD,32,RESIDENCIAL,,0.00004119503346937799
228,92710,EDIF. VERONESE,PEAD,32,RESIDENCIAL,,0.0000202731136463898
229,92709,AV. BOA VIAGEM,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00040678893286076503
230,92692,R. FRANCISCO DA CUNHA,PEAD,110,RESIDENCIAL/COMERCIAL,,0.00015445297277593548
231,92701,RUA TOMÉ GIBSON,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0005080817512124537
232,92700,RUA TOMÉ GIBSON,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0004383912687572934
233,92665,POSTO ABASTEÇA CAVALEIRO,AÇO,3,INDUSTRIAL,,0.026063102977136005
234,92699,EDIF. LABREA,PEAD,32,RESIDENCIAL,,0.000054507365658764123
235,92658,EDIF. COSTA DO MARFIM,PEAD,32,RESIDENCIAL,,0.000029363781139462236
236,92654,EDIF. COSTA DO MARFIM,PEAD,32,RESIDENCIAL,,0.000010425746975636806
237,92647,R.  AMÁLIA BERNADINO DE SOUZA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.000938112040365759
238,92646,EDIF. JOÃO SALES ASFORA,PEAD,32,RESIDENCIAL,,0.00002710211369165951
239,92644,AV. HERCULANO BANDEIRA,PEAD,110,RESIDENCIAL/COMERCIAL,,9.757422815477457e-7
240,92642,AV. HERCULANO BANDEIRA,PEAD,110,RESIDENCIAL/COMERCIAL,,0.000012437796589428531
241,92633,AV. VISCONDE DE JEQUITINHONHA,PEAD,110,RESIDENCIAL/COMERCIAL,,0.0009688592934330727
242,92269,R. AMERICANO FREIRE,PEAD,110,RESIDENCIAL/COMERCIAL,,0.0006422243776328505
243,92268,R. RIBEIRO DE BRITO,PEAD,110,RESIDENCIAL/COMERCIAL,,0.0006723060478765041
244,92267,R. AMERICANO FREIRE,PEAD,160,RESIDENCIAL/COMERCIAL,,0.0002579484102479925
245,92266,R. RIBEIRO DE BRITO,PEAD,110,RESIDENCIAL/COMERCIAL,,0.00009317213591954996
246,92265,R. RIBEIRO DE BRITO,PEAD,110,RESIDENCIAL/COMERCIAL,,0.000535051303892515
247,92248,RAMAL 395 / SENTIDO ERP-395.1,AÇO,4,INDUSTRIAL,,0.0007051978746725152
248,92202,RDA 341.1 - ESTRUTURADOR CIDADE DE GOIANA,AÇO,6,INDUSTRIAL,,0.013791765690569658
